date,tenor_yrs,yield_pct
2020-01-02,0.08333333333333333,1.5358522499999916
2020-01-02,0.25,1.5459290000000125
2020-01-02,0.5,1.5761622499999906
2020-01-02,1.0,1.566084000000001
2020-01-02,2.0,1.5862409999999993
2020-01-02,3.0,1.596320249999983
2020-01-02,5.0,1.6769722500000084
2020-01-02,7.0,1.7980102499999928
2020-01-02,10.0,1.8888360000000048
2020-01-02,20.0,2.2019902500000077
2020-01-02,30.0,2.3435722499999923
2020-01-03,0.08333333333333333,1.525776000000012
2020-01-03,0.25,1.525776000000012
2020-01-03,0.5,1.556006249999986
2020-01-03,1.0,1.556006249999986
2020-01-03,2.0,1.5358522499999916
2020-01-03,3.0,1.5459290000000125
2020-01-03,5.0,1.596320249999983
2020-01-03,7.0,1.7173102500000148
2020-01-03,10.0,1.8080999999999792
2020-01-03,20.0,2.121130250000003
2020-01-03,30.0,2.272769000000019
2020-01-06,0.08333333333333333,1.5459290000000125
2020-01-06,0.25,1.566084000000001
2020-01-06,0.5,1.566084000000001
2020-01-06,1.0,1.5459290000000125
2020-01-06,2.0,1.5459290000000125
2020-01-06,3.0,1.566084000000001
2020-01-06,5.0,1.6164802499999853
2020-01-06,7.0,1.727395999999981
2020-01-06,10.0,1.818190250000007
2020-01-06,20.0,2.14134225
2020-01-06,30.0,2.292996000000014
2020-01-07,0.08333333333333333,1.525776000000012
2020-01-07,0.25,1.5459290000000125
2020-01-07,0.5,1.566084000000001
2020-01-07,1.0,1.5358522499999916
2020-01-07,2.0,1.5459290000000125
2020-01-07,3.0,1.556006249999986
2020-01-07,5.0,1.6265610000000041
2020-01-07,7.0,1.7475689999999933
2020-01-07,10.0,1.8383722500000088
2020-01-07,20.0,2.171663999999973
2020-01-07,30.0,2.3233402499999833
2020-01-08,0.08333333333333333,1.5056250000000215
2020-01-08,0.25,1.5459290000000125
2020-01-08,0.5,1.566084000000001
2020-01-08,1.0,1.556006249999986
2020-01-08,2.0,1.5862409999999993
2020-01-08,3.0,1.6164802499999853
2020-01-08,5.0,1.6769722500000084
2020-01-08,7.0,1.7879209999999812
2020-01-08,10.0,1.8787422499999984
2020-01-08,20.0,2.2222102500000007
2020-01-08,30.0,2.363806249999989
2020-01-09,0.08333333333333333,1.5358522499999916
2020-01-09,0.25,1.5459290000000125
2020-01-09,0.5,1.566084000000001
2020-01-09,1.0,1.5459290000000125
2020-01-09,2.0,1.5862409999999993
2020-01-09,3.0,1.596320249999983
2020-01-09,5.0,1.6568062500000202
2020-01-09,7.0,1.777832250000011
2020-01-09,10.0,1.8585562499999986
2020-01-09,20.0,2.1817722500000025
2020-01-09,30.0,2.3941610000000058
2020-01-10,0.08333333333333333,1.525776000000012
2020-01-10,0.25,1.5459290000000125
2020-01-10,0.5,1.556006249999986
2020-01-10,1.0,1.5358522499999916
2020-01-10,2.0,1.566084000000001
2020-01-10,3.0,1.596320249999983
2020-01-10,5.0,1.63664225000002
2020-01-10,7.0,1.7475689999999933
2020-01-10,10.0,1.8383722500000088
2020-01-10,20.0,2.151448999999994
2020-01-10,30.0,2.292996000000014
2020-01-13,0.08333333333333333,1.5459290000000125
2020-01-13,0.25,1.5761622499999906
2020-01-13,0.5,1.5761622499999906
2020-01-13,1.0,1.5358522499999916
2020-01-13,2.0,1.5862409999999993
2020-01-13,3.0,1.6064000000000078
2020-01-13,5.0,1.6568062500000202
2020-01-13,7.0,1.7677439999999933
2020-01-13,10.0,1.8585562499999986
2020-01-13,20.0,2.171663999999973
2020-01-13,30.0,2.3132250000000187
2020-01-14,0.08333333333333333,1.5358522499999916
2020-01-14,0.25,1.5761622499999906
2020-01-14,0.5,1.5761622499999906
2020-01-14,1.0,1.5358522499999916
2020-01-14,2.0,1.5862409999999993
2020-01-14,3.0,1.596320249999983
2020-01-14,5.0,1.63664225000002
2020-01-14,7.0,1.7475689999999933
2020-01-14,10.0,1.8282810000000316
2020-01-14,20.0,2.131235999999981
2020-01-14,30.0,2.2828822499999957
2020-01-15,0.08333333333333333,1.5358522499999916
2020-01-15,0.25,1.5761622499999906
2020-01-15,0.5,1.5862409999999993
2020-01-15,1.0,1.5459290000000125
2020-01-15,2.0,1.566084000000001
2020-01-15,3.0,1.566084000000001
2020-01-15,5.0,1.6064000000000078
2020-01-15,7.0,1.7173102500000148
2020-01-15,10.0,1.7980102499999928
2020-01-15,20.0,2.1009202500000157
2020-01-15,30.0,2.242432250000004
2020-01-16,0.08333333333333333,1.5459290000000125
2020-01-16,0.25,1.556006249999986
2020-01-16,0.5,1.566084000000001
2020-01-16,1.0,1.5459290000000125
2020-01-16,2.0,1.5862409999999993
2020-01-16,3.0,1.5862409999999993
2020-01-16,5.0,1.63664225000002
2020-01-16,7.0,1.7374822500000109
2020-01-16,10.0,1.818190250000007
2020-01-16,20.0,2.121130250000003
2020-01-16,30.0,2.272769000000019
2020-01-17,0.08333333333333333,1.5459290000000125
2020-01-17,0.25,1.566084000000001
2020-01-17,0.5,1.5761622499999906
2020-01-17,1.0,1.566084000000001
2020-01-17,2.0,1.5862409999999993
2020-01-17,3.0,1.566084000000001
2020-01-17,5.0,1.63664225000002
2020-01-17,7.0,1.7475689999999933
2020-01-17,10.0,1.8484640000000274
2020-01-17,20.0,2.171663999999973
2020-01-17,30.0,2.3031102499999845
2020-01-21,0.08333333333333333,1.525776000000012
2020-01-21,0.25,1.566084000000001
2020-01-21,0.5,1.5761622499999906
2020-01-21,1.0,1.5459290000000125
2020-01-21,2.0,1.5358522499999916
2020-01-21,3.0,1.5358522499999916
2020-01-21,5.0,1.5761622499999906
2020-01-21,7.0,1.6971402500000066
2020-01-21,10.0,1.7879209999999812
2020-01-21,20.0,2.1110249999999997
2020-01-21,30.0,2.242432250000004
2020-01-22,0.08333333333333333,1.525776000000012
2020-01-22,0.25,1.556006249999986
2020-01-22,0.5,1.566084000000001
2020-01-22,1.0,1.556006249999986
2020-01-22,2.0,1.5358522499999916
2020-01-22,3.0,1.525776000000012
2020-01-22,5.0,1.5761622499999906
2020-01-22,7.0,1.6870559999999868
2020-01-22,10.0,1.777832250000011
2020-01-22,20.0,2.0807122500000164
2020-01-22,30.0,2.232321000000015
2020-01-23,0.08333333333333333,1.556006249999986
2020-01-23,0.25,1.556006249999986
2020-01-23,0.5,1.566084000000001
2020-01-23,1.0,1.556006249999986
2020-01-23,2.0,1.515700249999985
2020-01-23,3.0,1.515700249999985
2020-01-23,5.0,1.556006249999986
2020-01-23,7.0,1.6568062500000202
2020-01-23,10.0,1.7475689999999933
2020-01-23,20.0,2.0403022500000256
2020-01-23,30.0,2.1918809999999844
2020-01-24,0.08333333333333333,1.5459290000000125
2020-01-24,0.25,1.5459290000000125
2020-01-24,0.5,1.556006249999986
2020-01-24,1.0,1.556006249999986
2020-01-24,2.0,1.4955502499999884
2020-01-24,3.0,1.485476000000019
2020-01-24,5.0,1.515700249999985
