date,b0,b1,b2,b3,t1,t2
2020-10-28,0.00038,-0.66421,0.98545,-2.10867,6.5481,4.20181
2020-10-29,0.0083,-0.73991,-5.66554,3.97292,2.18782,1.76639
2020-10-30,0.0083,-0.73991,-5.66554,3.97292,2.18782,1.76639
2020-11-02,0.03545,-0.74715,-2.55045,0.89864,2.56624,1.34429
2020-11-03,0.00046,-0.71894,2.11291,-4.0169,1.62706,2.27654
2020-11-04,0.0001,-0.70144,0.13844,-2.31437,1.31803,3.03404
2020-11-05,0.0001,-0.6738,0.66857,-1.56369,8.83943,3.97061
2020-11-06,0.00152,-0.72074,7.95118,-9.72466,1.94807,2.1834
2020-11-09,0.00152,-0.72074,7.95118,-9.72466,1.94807,2.1834
2020-11-10,0.21023,-0.87589,2.63261,-4.65498,1.8521,2.391
2020-11-11,0.24216,-0.90502,0.05504,-2.57067,1.11162,2.88352
2020-11-12,0.20701,-0.85955,0.11008,-2.53598,1.17882,2.89222
2020-11-13,0.17095,-0.81632,0.00688,-2.48461,1.12846,2.98601
2020-11-16,0.14173,-0.79584,0.01349,-2.41877,1.20006,3.07864
2020-11-17,0.14173,-0.79584,0.01349,-2.41877,1.20006,3.07864
2020-11-18,0.14173,-0.79584,0.01349,-2.41877,1.20006,3.07864
2020-11-19,0.09245,-0.75786,0.02698,-2.36841,1.03934,3.01549
2020-11-20,0.09245,-0.75786,0.02698,-2.36841,1.03934,3.01549
2020-11-23,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-11-24,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-11-25,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-11-26,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-11-27,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-11-30,0.10221,-0.77133,0.03858,-2.41276,1.12415,2.99321
2020-12-01,0.10032,-0.86734,0.12881,-2.51418,0.75008,2.72293
2020-12-02,0.15455,-0.97191,0.25762,-2.60968,0.78841,2.68333
2020-12-03,0.15524,-0.93305,-0.0255,-2.58215,0.70524,2.80908
2020-12-04,0.1358,-0.93061,-0.051,-2.57825,0.65316,2.7845
2020-12-07,0.11582,-0.88584,-0.0272,-2.57571,0.73071,2.83042
2020-12-08,0.1183,-0.87107,-0.04522,-2.53357,0.86071,2.97326
2020-12-09,0.1183,-0.87107,-0.04522,-2.53357,0.86071,2.97326
2020-12-10,0.07633,-0.84609,-0.00283,-2.49726,0.88151,2.93887
2020-12-11,0.04536,-0.81546,-0.00018,-2.41984,0.89324,3.00748
2020-12-14,0.01631,-0.84166,0.13468,-2.46734,0.73835,2.73787
2020-12-15,0.01631,-0.84166,0.13468,-2.46734,0.73835,2.73787
2020-12-16,0.03262,-0.85039,0.26936,-2.39202,0.86691,2.70558
2020-12-17,0.08739,-0.89149,0.05594,-2.37947,0.84801,2.97425
2020-12-18,0.12156,-0.91623,0.0035,-2.47116,0.74543,2.90758
2020-12-21,0.04165,-0.82668,0.00447,-2.39711,0.74693,2.96572
2020-12-22,0.0639,-0.91756,0.00601,-2.44841,0.67807,2.86415
2020-12-23,0.1076,-0.93591,-1.47186,0.48318,3.94047,0.67098
2020-12-28,0.17153,-1.07077,-1.40103,0.72983,3.82298,0.62038
2020-12-29,0.12801,-1.06351,-1.41302,0.748,3.79057,0.69615
2020-12-30,0.15429,-1.02398,-1.44649,0.61031,3.76681,0.6737
2021-01-04,0.12597,-0.98521,-1.48656,0.62159,3.98578,0.70608
2021-01-05,0.10738,-0.93252,-1.69839,0.7082,3.51745,0.79797
2021-01-06,0.16979,-1.04268,-1.46321,0.76415,3.69425,0.57008
2021-01-07,0.16238,-1.00572,-1.56193,0.70224,3.61392,0.60268
2021-01-08,0.15836,-0.91742,-1.69583,0.53128,3.46135,0.68197
2021-01-11,0.10837,-0.75624,-17.0664,15.33407,2.18684,2.05993
2021-01-12,0.00057,-0.59245,3.54103,-4.13152,7.06931,5.2165
2021-01-13,0.00076,-0.58485,2.95499,-3.69308,6.76477,4.89814
2021-01-14,0.15589,-0.75883,-2.82363,1.08359,2.99112,2.11101
2021-01-15,0.19311,-0.75939,-1.85117,-0.03297,3.59872,0.0001
2021-01-18,0.00099,-0.56857,-1.71261,0.61754,3.53535,30.0
2021-01-19,0.21783,-0.78236,-1.7266,-0.10489,3.57916,3.99408
2021-01-20,0.1411,-0.73914,-2.70415,0.99659,2.82386,1.7202
2021-01-21,0.1411,-0.73914,-2.70415,0.99659,2.82386,1.7202
2021-01-22,0.20478,-0.80418,-2.63775,0.842,2.88714,1.71886
2021-01-25,0.18112,-0.77731,-2.10724,0.32356,3.20683,1.76282
2021-01-26,0.18358,-0.78244,-2.17844,0.37155,3.24318,1.48393
2021-01-27,0.23291,-0.8125,-1.89215,-0.13671,3.64364,0.07136
2021-01-28,0.1894,-0.71046,-2.03075,-0.27342,3.35765,0.14272
2021-01-29,0.27242,-0.78576,-2.08509,-0.37305,3.3984,0.04496
2021-02-01,0.174,-0.8641,-17.22887,15.4163,2.02499,1.87965
2021-02-02,0.00018,-0.59511,-4.93222,4.12634,5.25741,6.90813
2021-02-03,0.00025,-0.5989,-5.51072,4.86063,5.5333,7.26747
2021-02-04,0.00025,-0.5989,-5.51072,4.86063,5.5333,7.26747
2021-02-05,0.00029,-0.60231,-6.73912,6.18236,5.65861,6.99701
2021-02-08,0.00014,-0.59444,-2.46466,1.86869,4.42114,9.42237
2021-02-09,0.0001,-0.60493,-7.01868,6.44439,5.55626,6.821
2021-02-10,0.00087,-0.57366,-3.01389,2.22276,4.40567,7.82513
2021-02-11,0.36563,-0.99235,-2.25037,0.33921,3.17893,0.98747
2021-02-12,0.36563,-0.99235,-2.25037,0.33921,3.17893,0.98747
2021-02-15,0.47881,-1.11191,-2.37085,0.46069,3.01667,1.11979
2021-02-16,0.47881,-1.11191,-2.37085,0.46069,3.01667,1.11979
2021-02-17,0.48829,-1.11525,-2.40028,0.48692,2.93642,1.12788
2021-02-18,0.48829,-1.11525,-2.40028,0.48692,2.93642,1.12788
2021-02-19,0.52061,-1.13622,-2.4067,0.45719,2.90413,1.15274
2021-02-22,0.58376,-1.14208,-2.12128,0.08545,3.31001,0.01542
2021-02-23,0.57271,-1.18742,-2.11439,0.19566,3.15631,0.6098
2021-02-24,0.57271,-1.18742,-2.11439,0.19566,3.15631,0.6098
2021-02-25,0.57901,-1.20476,-2.17685,0.30467,2.93145,0.78526
2021-02-26,0.49398,-1.11593,-2.09703,0.37565,2.73607,0.90788
2021-03-01,0.45729,-1.07682,-2.24658,0.43235,2.69768,0.98627
2021-03-02,0.47038,-1.08555,-2.41312,0.49929,2.71337,1.13079
2021-03-03,0.4978,-1.12285,-2.71951,0.71992,2.56057,1.12808
2021-03-04,0.52654,-1.15745,-2.92357,0.92778,2.53025,1.27302
2021-03-05,0.52654,-1.15745,-2.92357,0.92778,2.53025,1.27302
2021-03-08,0.52654,-1.15745,-2.92357,0.92778,2.53025,1.27302
2021-03-09,0.48426,-1.10868,-2.46669,0.56774,2.58844,0.97859
2021-03-10,0.27171,-0.82262,-7.18774,6.24467,4.64849,5.70788
2021-03-11,0.53409,-1.16123,-2.18023,0.34049,3.04842,0.72113
2021-03-12,0.53635,-1.14807,-2.81668,0.74525,2.62609,1.21142
2021-03-15,0.53635,-1.14807,-2.81668,0.74525,2.62609,1.21142
2021-03-16,0.52407,-1.13969,-4.66984,2.44307,2.32758,1.61522
2021-03-17,0.54197,-1.16435,-9.30619,6.97873,2.0635,1.76709
2021-03-18,0.61391,-1.24706,-26.00283,23.57173,1.93603,1.83239
2021-03-19,0.59029,-1.22123,-30.0,27.51714,1.95932,1.87408
2021-03-22,0.60684,-1.23818,-8.74681,6.28159,2.13519,1.79197
2021-03-23,0.58044,-1.21844,-9.31439,6.88291,2.12734,1.80818
2021-03-24,0.58038,-0.80812,-2.88953,-1.01566,2.85404,0.16991
2021-03-25,0.58038,-0.80812,-2.88953,-1.01566,2.85404,0.16991
2021-03-26,0.58038,-0.80812,-2.88953,-1.01566,2.85404,0.16991
2021-03-29,0.61167,-0.83541,-2.92317,-1.04166,2.81159,0.17331
2021-03-30,0.66498,-0.87569,-2.90588,-1.07289,2.6868,0.16402
2021-03-31,0.66498,-0.87569,-2.90588,-1.07289,2.6868,0.16402
2021-04-01,0.6079,-0.67896,-3.04064,-1.28688,2.64569,0.22862
2021-04-06,0.6079,-0.67896,-3.04064,-1.28688,2.64569,0.22862
2021-04-07,0.57873,-0.67037,-3.01281,-1.30404,2.68925,0.21288
2021-04-08,0.57873,-0.67037,-3.01281,-1.30404,2.68925,0.21288
2021-04-09,0.61585,-0.67981,-3.07032,-1.41755,2.68043,0.21976
2021-04-12,0.58957,-0.76965,-2.87686,-1.10347,2.73976,0.21481
2021-04-13,0.62648,-0.78328,-2.92265,-1.16151,2.65998,0.21003
2021-04-14,0.62648,-0.78328,-2.92265,-1.16151,2.65998,0.21003
2021-04-15,0.64046,-0.84088,-2.8257,-1.07773,2.72383,0.20092
2021-04-16,0.64046,-0.84088,-2.8257,-1.07773,2.72383,0.20092
2021-04-19,0.64046,-0.84088,-2.8257,-1.07773,2.72383,0.20092
2021-04-20,0.65689,-0.87446,-2.7565,-1.04244,2.63908,0.18834
2021-04-21,0.64471,-0.87882,-2.77324,-0.99436,2.66709,0.18966
